name,guid,table,row,column
"rt_kidney_length","0a518b5e-a48f-4a52-9109-a1381e1630d1","","Kidney length","Right"
"lt_kidney_length","29505d4a-3b24-4103-84b9-1016ab016ab2","","Kidney length","Left"
"rt_rar","3920629f-d3b5-4c76-9420-f65ce1e3d478","","Renal Artery Ratio (RAR)","Right"
"lt_rar","51408bfa-06e1-45f3-b87b-7999435ca132","","Renal Artery Ratio (RAR)","Left"
"rt_renal_vein_ps","120805cd-8b04-43a9-a0fa-50d62d6aebe2","","Renal vein","Right"
"lt_renal_vein_ps","195be122-ad4f-49b1-8ef7-8b335d8095a4","","Renal vein","Left"
"bladder_lg","85b87610-6e9f-4cc5-84e1-79c58c1163af","","Bladder","Length"
"bladder_ap","1a99f71e-8a29-4189-9b31-5d44ac8573b4","","Bladder","Height"
"bladder_trv","a898aa55-39b9-4d2f-acf9-00ec731ee307","","Bladder","Width"
"bladder_vol","2c9fd4ac-16f0-4480-aa26-2ccb060e4826","","Bladder","Volume"
"post_void_bladder_lg","72308483-5afe-4ebe-937e-ae12fcba6c39","","Post Void Bladder","Length"
"post_void_bladder_ap","e193dc66-4850-4e03-938a-b25e48104723","","Post Void Bladder","Height"
"post_void_bladder_trv","b9e12a00-9fab-4b67-a462-8485c84edfd3","","Post Void Bladder","Width"
"post_void_bladder_vol","65041d73-66b6-4716-93c6-5baeba215d84","","Post Void Bladder","Volume"
"bladder_mass1_lg","0f5cadd8-d34f-4be7-a859-497ed46cf9ca","","Bladder Mass 1","Length"
"bladder_mass1_ap","9517ff2b-6470-4c96-9db0-eebec7ada06a","","Bladder Mass 1","Height"
"bladder_mass1_trv","dcab6412-9fdd-4d77-ba5b-cdb7129139bb","","Bladder Mass 1","Width"
"bladder_mass2_lg","08aa6817-f3b4-42df-8081-937e170dc17e","","Bladder Mass 2","Length"
"bladder_mass2_ap","5d55b71b-090c-41b2-b72c-e104e32f03f9","","Bladder Mass 2","Height"
"bladder_mass2_trv","3aec6fc9-2d9a-4928-bb44-ac28f66c5d33","","Bladder Mass 2","Width"
"rt_renal_mass1_lg","484ed0c2-3baf-479e-8054-4917b848f3aa","","<span style=\"font-size:16px;\">","Right Length"
"rt_renal_mass1_ap","6ca8b7f5-79be-48d5-a5ca-727c50ed95f7","","<span style=\"font-size:16px;\">","Right Height"
"rt_renal_mass1_trv","4273e9d5-1d57-47fa-82ec-5b7f673b7b9c","","<span style=\"font-size:16px;\">","Right Width"
"lt_renal_mass1_lg","f2f4bbab-f2c4-48c8-b8c2-0141a5f27fcc","","<span style=\"font-size:16px;\">","Left Length"
"lt_renal_mass1_ap","7297db36-2a17-45f3-8061-63ebb08ff130","","<span style=\"font-size:16px;\">","Left Height"
"lt_renal_mass1_trv","fea55a6e-d912-4883-9ae9-4c50e34a8f2b","","<span style=\"font-size:16px;\">","Left Width"
"rt_renal_mass2_lg","bb216124-f4fb-4ccd-aa05-b757c11b8cb5","","<span style=\"font-size:16px;\">","Right Length"
"rt_renal_mass2_ap","c6dc9e4a-94b8-4bdf-8ac0-8922aedb973e","","<span style=\"font-size:16px;\">","Right Height"
"rt_renal_mass2_trv","2cc69f73-b16e-4bfe-adbe-d1ee059ea7ef","","<span style=\"font-size:16px;\">","Right Width"
"lt_renal_mass2_lg","0d07a593-d75a-4aa2-b520-1af2fc7620ab","","<span style=\"font-size:16px;\">","Left Length"
"lt_renal_mass2_ap","7e6e0fb0-bf99-4959-b63e-e849c796b7c8","","<span style=\"font-size:16px;\">","Left Height"
"lt_renal_mass2_trv","e89ac8e2-ae75-4579-ad5b-47c740576fa9","","<span style=\"font-size:16px;\">","Left Width"
"rt_renal_mass3_lg","f4f97e5e-aafc-4586-9e98-a015fe2ecd8b","","<span style=\"font-size:16px;\">","Right Length"
"rt_renal_mass3_ap","b5180692-bcdb-4806-bc2a-74fd31a720e4","","<span style=\"font-size:16px;\">","Right Height"
"rt_renal_mass3_trv","821d02e9-49bb-4e57-aadb-15a5ec948719","","<span style=\"font-size:16px;\">","Right Width"
"lt_renal_mass3_lg","91322ce5-7825-413c-bbdf-4944b5218a4f","","<span style=\"font-size:16px;\">","Left Length"
"lt_renal_mass3_ap","97902992-b004-4ff8-a973-94768ba5eb9a","","<span style=\"font-size:16px;\">","Left Height"
"lt_renal_mass3_trv","d17c7289-4fc3-46e5-ac93-bf9e58fb3c02","","<span style=\"font-size:16px;\">","Left Width"
"aorta_ps","ef2d9385-eaa7-4bb0-a1e5-601147fc7e05","","Aorta PS","Velocity"
"aorta_ed","c60bd130-880d-4ecc-b0cd-8c12ed24bf0a","","Aorta ED","Velocity"
"rt_renal_prox_ps","5b4879e2-e947-4159-92d9-f653c1ea28c3","Renal Artery","Renal Artery Proximal PS","Right"
"lt_renal_prox_ps","334ca422-46e6-44ea-951d-a764d8feb559","Renal Artery","Renal Artery Proximal PS","Left"
"rt_renal_prox_ed","59726da1-843a-47a9-9c01-67720abebd0a","Renal Artery","Renal Artery Proximal ED","Right"
"lt_renal_prox_ed","8bb1d3bb-877d-4387-ae58-240221299505","Renal Artery","Renal Artery Proximal ED","Left"
"rt_renal_prox_ri","23bd69ff-1f20-4987-98e1-9232fdcfa2bc","Renal Artery","Renal Artery Proximal RI","Right"
"lt_renal_prox_ri","6c682d77-0e63-42a0-867e-9cbe0ff48fcd","Renal Artery","Renal Artery Proximal RI","Left"
"rt_renal_mid_ps","c8005bc4-ed0a-485b-8abf-c869b4bcc9c1","Renal Artery","Renal Artery Mid PS","Right"
"lt_renal_mid_ps","39f5a94d-5c16-4af8-83ad-63c0c37dcd34","Renal Artery","Renal Artery Mid PS","Left"
"rt_renal_mid_ed","be682d09-63db-459b-9e0a-c299f2e08505","Renal Artery","Renal Artery Mid ED","Right"
"lt_renal_mid_ed","d2512bca-9f4f-48dc-be50-da783c2027ad","Renal Artery","Renal Artery Mid ED","Left"
"rt_renal_mid_ri","6fff618e-38bd-4ac0-a13b-f4365ce431a8","Renal Artery","Renal Artery Mid RI","Right"
"lt_renal_mid_ri","5a9e8616-a9bd-40fa-bb94-b0bc177b31a0","Renal Artery","Renal Artery Mid RI","Left"
"rt_renal_dist_ps","3444db67-fedf-4a5c-af2e-b0bea300607a","Renal Artery","Renal Artery Distal PS","Right"
"lt_renal_dist_ps","e29157a2-561b-4853-a4f5-4904924f463b","Renal Artery","Renal Artery Distal PS","Left"
"rt_renal_dist_ed","a7b42ddf-849c-4194-9e27-3b15641902c6","Renal Artery","Renal Artery Distal ED","Right"
"lt_renal_dist_ed","943c896f-a88b-49be-ad3a-709fbac22833","Renal Artery","Renal Artery Distal ED","Left"
"rt_renal_dist_ri","3f40393d-0522-45b8-8062-60ca914df2ec","Renal Artery","Renal Artery Distal RI","Right"
"lt_renal_dist_ri","f7d9c03e-135a-4da0-9ae9-1d631e0332a9","Renal Artery","Renal Artery Distal RI","Left"
"rt_renal_avg_ps","cf121040-b389-4b2e-ba22-73815690138f","Renal Artery","Average Renal PS","Right"
"lt_renal_avg_ps","5817a587-831f-4103-9836-53210d96b44b","Renal Artery","Average Renal PS","Left"
"rt_renal_avg_ri","bffaac67-d4be-4b87-b611-6459d4362158","Renal Artery","Average Renal RI","Right"
"lt_renal_avg_ri","7a36aedc-e595-41f4-b7eb-143c94993c93","Renal Artery","Average Renal RI","Left"
"rt_seg_art_prox_ps","215dd0e7-6119-43c1-af08-28ce6aae2e5f","Renal Segmental Artery","Segmental Artery Superior PS","Right"
"lt_seg_art_prox_ps","be61adcb-7987-46f0-9d54-96485704fca0","Renal Segmental Artery","Segmental Artery Superior PS","Left"
"rt_seg_art_prox_ed","bfafb01b-23c7-4085-933b-31cc37f86a2b","Renal Segmental Artery","Segmental Artery Superior ED","Right"
"lt_seg_art_prox_ed","de63b927-f641-4415-a74a-d277051b74e1","Renal Segmental Artery","Segmental Artery Superior ED","Left"
"rt_seg_art_prox_ri","aa828ad7-3c2a-4fde-aa81-95b2df9001f5","Renal Segmental Artery","Segmental Artery Superior RI","Right"
"lt_seg_art_prox_ri","ac92ff4a-d2c1-47a0-90a9-c55784a9f458","Renal Segmental Artery","Segmental Artery Superior RI","Left"
"rt_seg_art_prox_at","d94020e3-ee2a-4e57-9c4e-34f6229ade2a","Renal Segmental Artery","Segmental Artery Superior AT (Acceleration time)","Right"
"lt_seg_art_prox_at","ec0dd4ec-7442-4f1b-97b4-119199106312","Renal Segmental Artery","Segmental Artery Superior AT (Acceleration time)","Left"
"rt_seg_art_mid_ps","9f763b16-8fe9-481c-8cfb-dc5c5dff30cc","Renal Segmental Artery","Segmental Artery Mid PS","Right"
"lt_seg_art_mid_ps","eb5d5097-de88-4b88-9b7a-12874f8162af","Renal Segmental Artery","Segmental Artery Mid PS","Left"
"rt_seg_art_mid_ed","e88b37a9-ed24-48ac-8dc2-3932cad825dc","Renal Segmental Artery","Segmental Artery Mid ED","Right"
"lt_seg_art_mid_ed","42b78231-6663-435d-88d7-a2dbbd4be96c","Renal Segmental Artery","Segmental Artery Mid ED","Left"
"rt_seg_art_mid_ri","02d1f514-11ea-4a6b-a0fd-c09d5cd8af67","Renal Segmental Artery","Segmental Artery Mid RI","Right"
"lt_seg_art_mid_ri","68314183-1b6d-4060-b2a9-fcde038eaa5e","Renal Segmental Artery","Segmental Artery Mid RI","Left"
"rt_seg_art_mid_at","ea3ff0dc-7317-4dbb-bc96-d44b841e7205","Renal Segmental Artery","Segmental Artery Mid AT&nbsp;(Acceleration time)","Right"
"lt_seg_art_mid_at","b44f658d-f753-4611-bfb7-91fcb25a62f1","Renal Segmental Artery","Segmental Artery Mid AT&nbsp;(Acceleration time)","Left"
"rt_seg_art_dist_ps","9a13cd86-8262-4935-9d6f-7cd08f0f5de5","Renal Segmental Artery","Segmental Artery Inferior PS","Right"
"lt_seg_art_dist_ps","d5be8ac1-4d39-45c7-9299-7608b6cb8747","Renal Segmental Artery","Segmental Artery Inferior PS","Left"
"rt_seg_art_dist_ed","e298ef6b-61ce-4783-87e5-415dbc02b740","Renal Segmental Artery","Segmental Artery Inferior ED","Right"
"lt_seg_art_dist_ed","7db50677-ae07-49db-a816-40a9433415bc","Renal Segmental Artery","Segmental Artery Inferior ED","Left"
"rt_seg_art_dist_ri","fa0f4209-11de-4261-bf0c-4de0b63d06cb","Renal Segmental Artery","Segmental Artery Inferior RI","Right"
"lt_seg_art_dist_ri","e3f1ba39-f71d-49c2-b210-4d80f4f1c723","Renal Segmental Artery","Segmental Artery Inferior RI","Left"
"rt_seg_art_dist_at","e59c6f32-0302-4f76-8865-30abae49e49c","Renal Segmental Artery","Segmental Artery Inferior AT&nbsp;(Acceleration time)","Right"
"lt_seg_art_dist_at","17643f55-e9b5-4396-9262-1d0500325610","Renal Segmental Artery","Segmental Artery Inferior AT&nbsp;(Acceleration time)","Left"
"rt_arcuate_art_ps","874817a9-7b92-4d12-8c8f-73549d706a91","Renal Segmental Artery","Arcuate Artery Mid PS","Right"
"lt_arcuate_art_ps","339a9ce3-4a7f-464d-b218-c83da4968d9d","Renal Segmental Artery","Arcuate Artery Mid PS","Left"
"rt_arcuate_art_ed","87863ffa-037e-4d17-8fbd-cd591c21574b","Renal Segmental Artery","Arcuate Artery Mid ED","Right"
"lt_arcuate_art_ed","90931156-ffcd-4a1b-bc87-37547eb6a1e2","Renal Segmental Artery","Arcuate Artery Mid ED","Left"
"rt_arcuate_art_ri","b15c6381-9923-47b4-b074-644e399d858a","Renal Segmental Artery","Arcuate Artery Mid RI","Right"
"lt_arcuate_art_ri","eb2f97b6-79f9-445b-925e-d01955fbf748","Renal Segmental Artery","Arcuate Artery Mid RI","Left"
